Rainfall,Year,Month Statistics, Country, ISO3
6.6, 2002, Dec Average, Nepal, NPL
29.5, 2003, Jan Average, Nepal, NPL
84.9, 2003, Feb Average, Nepal, NPL
50.1, 2003, Mar Average, Nepal, NPL
37.6, 2003, Apr Average, Nepal, NPL
45.5, 2003, May Average, Nepal, NPL
171.0, 2003, Jun Average, Nepal, NPL
411.8, 2003, Jul Average, Nepal, NPL
239.6, 2003, Aug Average, Nepal, NPL
291.9, 2003, Sep Average, Nepal, NPL
34.3, 2003, Oct Average, Nepal, NPL
8.5, 2003, Nov Average, Nepal, NPL
24.6, 2003, Dec Average, Nepal, NPL
19.0, 2004, Jan Average, Nepal, NPL
11.0, 2004, Feb Average, Nepal, NPL
24.7, 2004, Mar Average, Nepal, NPL
66.1, 2004, Apr Average, Nepal, NPL
143.2, 2004, May Average, Nepal, NPL
193.1, 2004, Jun Average, Nepal, NPL
416.5, 2004, Jul Average, Nepal, NPL
201.4, 2004, Aug Average, Nepal, NPL
199.3, 2004, Sep Average, Nepal, NPL
77.5, 2004, Oct Average, Nepal, NPL
26.3, 2004, Nov Average, Nepal, NPL
7.7, 2004, Dec Average, Nepal, NPL
34.4, 2005, Jan Average, Nepal, NPL
32.0, 2005, Feb Average, Nepal, NPL
50.6, 2005, Mar Average, Nepal, NPL
29.6, 2005, Apr Average, Nepal, NPL
60.4, 2005, May Average, Nepal, NPL
134.3, 2005, Jun Average, Nepal, NPL
306.7, 2005, Jul Average, Nepal, NPL
238.7, 2005, Aug Average, Nepal, NPL
178.4, 2005, Sep Average, Nepal, NPL
66.0, 2005, Oct Average, Nepal, NPL
3.6, 2005, Nov Average, Nepal, NPL
10.0, 2005, Dec Average, Nepal, NPL
7.4, 2006, Jan Average, Nepal, NPL
9.5, 2006, Feb Average, Nepal, NPL
36.3, 2006, Mar Average, Nepal, NPL
92.2, 2006, Apr Average, Nepal, NPL
141.8, 2006, May Average, Nepal, NPL
184.6, 2006, Jun Average, Nepal, NPL
334.7, 2006, Jul Average, Nepal, NPL
204.0, 2006, Aug Average, Nepal, NPL
180.3, 2006, Sep Average, Nepal, NPL
37.6, 2006, Oct Average, Nepal, NPL
18.4, 2006, Nov Average, Nepal, NPL
15.0, 2006, Dec Average, Nepal, NPL
5.0, 2007, Jan Average, Nepal, NPL
80.1, 2007, Feb Average, Nepal, NPL
55.7, 2007, Mar Average, Nepal, NPL
58.3, 2007, Apr Average, Nepal, NPL
117.1, 2007, May Average, Nepal, NPL
174.9, 2007, Jun Average, Nepal, NPL
251.6, 2007, Jul Average, Nepal, NPL
257.8, 2007, Aug Average, Nepal, NPL
259.3, 2007, Sep Average, Nepal, NPL
16.6, 2007, Oct Average, Nepal, NPL
6.3, 2007, Nov Average, Nepal, NPL
4.4, 2007, Dec Average, Nepal, NPL
11.8, 2008, Jan Average, Nepal, NPL
10.3, 2008, Feb Average, Nepal, NPL
28.6, 2008, Mar Average, Nepal, NPL
36.3, 2008, Apr Average, Nepal, NPL
155.9, 2008, May Average, Nepal, NPL
338.5, 2008, Jun Average, Nepal, NPL
375.3, 2008, Jul Average, Nepal, NPL
268.4, 2008, Aug Average, Nepal, NPL
171.9, 2008, Sep Average, Nepal, NPL
26.0, 2008, Oct Average, Nepal, NPL
2.1, 2008, Nov Average, Nepal, NPL
9.8, 2008, Dec Average, Nepal, NPL
5.3, 2009, Jan Average, Nepal, NPL
17.5, 2009, Feb Average, Nepal, NPL
27.9, 2009, Mar Average, Nepal, NPL
25.7, 2009, Apr Average, Nepal, NPL
197.6, 2009, May Average, Nepal, NPL
86.9, 2009, Jun Average, Nepal, NPL
248.9, 2009, Jul Average, Nepal, NPL
254.4, 2009, Aug Average, Nepal, NPL
178.6, 2009, Sep Average, Nepal, NPL
85.8, 2009, Oct Average, Nepal, NPL
13.1, 2009, Nov Average, Nepal, NPL
8.6, 2009, Dec Average, Nepal, NPL
10.3, 2010, Jan Average, Nepal, NPL
30.4, 2010, Feb Average, Nepal, NPL
27.0, 2010, Mar Average, Nepal, NPL
35.1, 2010, Apr Average, Nepal, NPL
125.7, 2010, May Average, Nepal, NPL
94.5, 2010, Jun Average, Nepal, NPL
303.4, 2010, Jul Average, Nepal, NPL
346.7, 2010, Aug Average, Nepal, NPL
318.4, 2010, Sep Average, Nepal, NPL
55.4, 2010, Oct Average, Nepal, NPL
5.2, 2010, Nov Average, Nepal, NPL
7.1, 2010, Dec Average, Nepal, NPL
11.9, 2011, Jan Average, Nepal, NPL
60.0, 2011, Feb Average, Nepal, NPL
24.8, 2011, Mar Average, Nepal, NPL
46.0, 2011, Apr Average, Nepal, NPL
204.9, 2011, May Average, Nepal, NPL
284.5, 2011, Jun Average, Nepal, NPL
430.0, 2011, Jul Average, Nepal, NPL
335.1, 2011, Aug Average, Nepal, NPL
315.6, 2011, Sep Average, Nepal, NPL
18.0, 2011, Oct Average, Nepal, NPL
5.4, 2011, Nov Average, Nepal, NPL
6.0, 2011, Dec Average, Nepal, NPL
28.6, 2012, Jan Average, Nepal, NPL
36.0, 2012, Feb Average, Nepal, NPL
32.7, 2012, Mar Average, Nepal, NPL
59.3, 2012, Apr Average, Nepal, NPL
43.3, 2012, May Average, Nepal, NPL
136.2, 2012, Jun Average, Nepal, NPL
384.8, 2012, Jul Average, Nepal, NPL
307.7, 2012, Aug Average, Nepal, NPL
319.6, 2012, Sep Average, Nepal, NPL
23.7, 2012, Oct Average, Nepal, NPL
3.6, 2012, Nov Average, Nepal, NPL
11.8, 2012, Dec Average, Nepal, NPL
25.1, 2013, Jan Average, Nepal, NPL
67.6, 2013, Feb Average, Nepal, NPL
24.6, 2013, Mar Average, Nepal, NPL
54.1, 2013, Apr Average, Nepal, NPL
63.5, 2013, May Average, Nepal, NPL
286.2, 2013, Jun Average, Nepal, NPL
354.1, 2013, Jul Average, Nepal, NPL
272.6, 2013, Aug Average, Nepal, NPL
133.9, 2013, Sep Average, Nepal, NPL
116.8, 2013, Oct Average, Nepal, NPL
2.2, 2013, Nov Average, Nepal, NPL
8.6, 2013, Dec Average, Nepal, NPL
15.5, 2014, Jan Average, Nepal, NPL
41.1, 2014, Feb Average, Nepal, NPL
26.0, 2014, Mar Average, Nepal, NPL
18.9, 2014, Apr Average, Nepal, NPL
158.1, 2014, May Average, Nepal, NPL
76.1, 2014, Jun Average, Nepal, NPL
142.9, 2014, Jul Average, Nepal, NPL
149.9, 2014, Aug Average, Nepal, NPL
102.0, 2014, Sep Average, Nepal, NPL
49.1, 2014, Oct Average, Nepal, NPL
2.0, 2014, Nov Average, Nepal, NPL
10.4, 2014, Dec Average, Nepal, NPL
29.6, 2015, Jan Average, Nepal, NPL
41.7, 2015, Feb Average, Nepal, NPL
67.9, 2015, Mar Average, Nepal, NPL
84.8, 2015, Apr Average, Nepal, NPL
66.2, 2015, May Average, Nepal, NPL
185.9, 2015, Jun Average, Nepal, NPL
339.7, 2015, Jul Average, Nepal, NPL
375.6, 2015, Aug Average, Nepal, NPL
130.5, 2015, Sep Average, Nepal, NPL
47.2, 2015, Oct Average, Nepal, NPL
8.3, 2015, Nov Average, Nepal, NPL
10.6, 2015, Dec Average, Nepal, NPL
6.3, 2016, Jan Average, Nepal, NPL
24.7, 2016, Feb Average, Nepal, NPL
29.4, 2016, Mar Average, Nepal, NPL
22.1, 2016, Apr Average, Nepal, NPL
116.5, 2016, May Average, Nepal, NPL
239.7, 2016, Jun Average, Nepal, NPL
448.7, 2016, Jul Average, Nepal, NPL
163.7, 2016, Aug Average, Nepal, NPL
253.8, 2016, Sep Average, Nepal, NPL
71.4, 2016, Oct Average, Nepal, NPL
6.3, 2016, Nov Average, Nepal, NPL
10.6, 2016, Dec Average, Nepal, NPL
19.0, 2017, Jan Average, Nepal, NPL
9.9, 2017, Feb Average, Nepal, NPL
71.8, 2017, Mar Average, Nepal, NPL
80.6, 2017, Apr Average, Nepal, NPL
147.5, 2017, May Average, Nepal, NPL
154.9, 2017, Jun Average, Nepal, NPL
347.5, 2017, Jul Average, Nepal, NPL
312.7, 2017, Aug Average, Nepal, NPL
164.3, 2017, Sep Average, Nepal, NPL
49.8, 2017, Oct Average, Nepal, NPL
6.8, 2017, Nov Average, Nepal, NPL
10.8, 2017, Dec Average, Nepal, NPL
14.5, 2018, Jan Average, Nepal, NPL
9.5, 2018, Feb Average, Nepal, NPL
33.5, 2018, Mar Average, Nepal, NPL
64.8, 2018, Apr Average, Nepal, NPL
129.3, 2018, May Average, Nepal, NPL
221.1, 2018, Jun Average, Nepal, NPL
327.8, 2018, Jul Average, Nepal, NPL
314.5, 2018, Aug Average, Nepal, NPL
181.4, 2018, Sep Average, Nepal, NPL
41.3, 2018, Oct Average, Nepal, NPL
21.1, 2018, Nov Average, Nepal, NPL
12.8, 2018, Dec Average, Nepal, NPL
29.3, 2019, Jan Average, Nepal, NPL
49.9, 2019, Feb Average, Nepal, NPL
33.4, 2019, Mar Average, Nepal, NPL
83.3, 2019, Apr Average, Nepal, NPL
73.6, 2019, May Average, Nepal, NPL
162.2, 2019, Jun Average, Nepal, NPL
431.1, 2019, Jul Average, Nepal, NPL
229.8, 2019, Aug Average, Nepal, NPL
98.9, 2019, Sep Average, Nepal, NPL
55.6, 2019, Oct Average, Nepal, NPL
17.8, 2019, Nov Average, Nepal, NPL
28.9, 2019, Dec Average, Nepal, NPL
37.8, 2020, Jan Average, Nepal, NPL
23.6, 2020, Feb Average, Nepal, NPL
58.4, 2020, Mar Average, Nepal, NPL
75.1, 2020, Apr Average, Nepal, NPL
118.2, 2020, May Average, Nepal, NPL
198.9, 2020, Jun Average, Nepal, NPL
359.1, 2020, Jul Average, Nepal, NPL
269.7, 2020, Aug Average, Nepal, NPL
164.9, 2020, Sep Average, Nepal, NPL
47.8, 2020, Oct Average, Nepal, NPL
6.4, 2020, Nov Average, Nepal, NPL
10.9, 2020, Dec Average, Nepal, NPL
