Temperature(Celsius), Year,Month Statistics,  Country,ISO3
13.8, 2002, Oct Average, Nepal, NPL
9.9, 2002, Nov Average, Nepal, NPL
6.9, 2002, Dec Average, Nepal, NPL
4.6, 2003, Jan Average, Nepal, NPL
5.8, 2003, Feb Average, Nepal, NPL
10.0, 2003, Mar Average, Nepal, NPL
15.3, 2003, Apr Average, Nepal, NPL
16.4, 2003, May Average, Nepal, NPL
19.5, 2003, Jun Average, Nepal, NPL
19.0, 2003, Jul Average, Nepal, NPL
19.4, 2003, Aug Average, Nepal, NPL
17.8, 2003, Sep Average, Nepal, NPL
14.6, 2003, Oct Average, Nepal, NPL
10.4, 2003, Nov Average, Nepal, NPL
6.0, 2003, Dec Average, Nepal, NPL
4.2, 2004, Jan Average, Nepal, NPL
6.3, 2004, Feb Average, Nepal, NPL
13.1, 2004, Mar Average, Nepal, NPL
15.6, 2004, Apr Average, Nepal, NPL
18.0, 2004, May Average, Nepal, NPL
18.2, 2004, Jun Average, Nepal, NPL
18.9, 2004, Jul Average, Nepal, NPL
18.9, 2004, Aug Average, Nepal, NPL
18.4, 2004, Sep Average, Nepal, NPL
13.4, 2004, Oct Average, Nepal, NPL
9.0, 2004, Nov Average, Nepal, NPL
7.4, 2004, Dec Average, Nepal, NPL
4.9, 2005, Jan Average, Nepal, NPL
6.6, 2005, Feb Average, Nepal, NPL
11.6, 2005, Mar Average, Nepal, NPL
14.2, 2005, Apr Average, Nepal, NPL
16.2, 2005, May Average, Nepal, NPL
19.9, 2005, Jun Average, Nepal, NPL
19.0, 2005, Jul Average, Nepal, NPL
19.4, 2005, Aug Average, Nepal, NPL
17.9, 2005, Sep Average, Nepal, NPL
14.1, 2005, Oct Average, Nepal, NPL
9.8, 2005, Nov Average, Nepal, NPL
5.8, 2005, Dec Average, Nepal, NPL
6.8, 2006, Jan Average, Nepal, NPL
9.3, 2006, Feb Average, Nepal, NPL
10.5, 2006, Mar Average, Nepal, NPL
14.0, 2006, Apr Average, Nepal, NPL
17.7, 2006, May Average, Nepal, NPL
18.9, 2006, Jun Average, Nepal, NPL
19.3, 2006, Jul Average, Nepal, NPL
18.9, 2006, Aug Average, Nepal, NPL
17.7, 2006, Sep Average, Nepal, NPL
14.4, 2006, Oct Average, Nepal, NPL
10.2, 2006, Nov Average, Nepal, NPL
7.2, 2006, Dec Average, Nepal, NPL
5.7, 2007, Jan Average, Nepal, NPL
5.6, 2007, Feb Average, Nepal, NPL
10.7, 2007, Mar Average, Nepal, NPL
15.7, 2007, Apr Average, Nepal, NPL
17.8, 2007, May Average, Nepal, NPL
19.0, 2007, Jun Average, Nepal, NPL
19.2, 2007, Jul Average, Nepal, NPL
19.3, 2007, Aug Average, Nepal, NPL
18.2, 2007, Sep Average, Nepal, NPL
15.2, 2007, Oct Average, Nepal, NPL
10.0, 2007, Nov Average, Nepal, NPL
6.7, 2007, Dec Average, Nepal, NPL
5.6, 2008, Jan Average, Nepal, NPL
5.4, 2008, Feb Average, Nepal, NPL
11.6, 2008, Mar Average, Nepal, NPL
14.7, 2008, Apr Average, Nepal, NPL
17.1, 2008, May Average, Nepal, NPL
18.1, 2008, Jun Average, Nepal, NPL
18.4, 2008, Jul Average, Nepal, NPL
18.5, 2008, Aug Average, Nepal, NPL
17.4, 2008, Sep Average, Nepal, NPL
14.0, 2008, Oct Average, Nepal, NPL
10.5, 2008, Nov Average, Nepal, NPL
7.5, 2008, Dec Average, Nepal, NPL
6.6, 2009, Jan Average, Nepal, NPL
7.7, 2009, Feb Average, Nepal, NPL
11.3, 2009, Mar Average, Nepal, NPL
15.9, 2009, Apr Average, Nepal, NPL
17.1, 2009, May Average, Nepal, NPL
19.7, 2009, Jun Average, Nepal, NPL
19.9, 2009, Jul Average, Nepal, NPL
19.6, 2009, Aug Average, Nepal, NPL
17.6, 2009, Sep Average, Nepal, NPL
14.6, 2009, Oct Average, Nepal, NPL
10.7, 2009, Nov Average, Nepal, NPL
6.8, 2009, Dec Average, Nepal, NPL
4.1, 2010, Jan Average, Nepal, NPL
6.6, 2010, Feb Average, Nepal, NPL
12.8, 2010, Mar Average, Nepal, NPL
16.9, 2010, Apr Average, Nepal, NPL
17.9, 2010, May Average, Nepal, NPL
19.9, 2010, Jun Average, Nepal, NPL
20.0, 2010, Jul Average, Nepal, NPL
19.4, 2010, Aug Average, Nepal, NPL
18.0, 2010, Sep Average, Nepal, NPL
14.9, 2010, Oct Average, Nepal, NPL
11.4, 2010, Nov Average, Nepal, NPL
5.9, 2010, Dec Average, Nepal, NPL
4.3, 2011, Jan Average, Nepal, NPL
6.3, 2011, Feb Average, Nepal, NPL
10.9, 2011, Mar Average, Nepal, NPL
14.1, 2011, Apr Average, Nepal, NPL
17.6, 2011, May Average, Nepal, NPL
18.3, 2011, Jun Average, Nepal, NPL
19.1, 2011, Jul Average, Nepal, NPL
18.7, 2011, Aug Average, Nepal, NPL
17.9, 2011, Sep Average, Nepal, NPL
14.1, 2011, Oct Average, Nepal, NPL
10.3, 2011, Nov Average, Nepal, NPL
7.4, 2011, Dec Average, Nepal, NPL
3.2, 2012, Jan Average, Nepal, NPL
6.2, 2012, Feb Average, Nepal, NPL
10.8, 2012, Mar Average, Nepal, NPL
14.5, 2012, Apr Average, Nepal, NPL
17.9, 2012, May Average, Nepal, NPL
20.8, 2012, Jun Average, Nepal, NPL
19.2, 2012, Jul Average, Nepal, NPL
19.0, 2012, Aug Average, Nepal, NPL
17.8, 2012, Sep Average, Nepal, NPL
13.2, 2012, Oct Average, Nepal, NPL
8.9, 2012, Nov Average, Nepal, NPL
6.4, 2012, Dec Average, Nepal, NPL
3.8, 2013, Jan Average, Nepal, NPL
5.3, 2013, Feb Average, Nepal, NPL
10.7, 2013, Mar Average, Nepal, NPL
14.4, 2013, Apr Average, Nepal, NPL
18.0, 2013, May Average, Nepal, NPL
19.0, 2013, Jun Average, Nepal, NPL
19.3, 2013, Jul Average, Nepal, NPL
18.7, 2013, Aug Average, Nepal, NPL
17.6, 2013, Sep Average, Nepal, NPL
14.1, 2013, Oct Average, Nepal, NPL
9.0, 2013, Nov Average, Nepal, NPL
6.1, 2013, Dec Average, Nepal, NPL
4.5, 2014, Jan Average, Nepal, NPL
5.4, 2014, Feb Average, Nepal, NPL
9.9, 2014, Mar Average, Nepal, NPL
14.4, 2014, Apr Average, Nepal, NPL
17.3, 2014, May Average, Nepal, NPL
19.9, 2014, Jun Average, Nepal, NPL
19.3, 2014, Jul Average, Nepal, NPL
19.1, 2014, Aug Average, Nepal, NPL
17.5, 2014, Sep Average, Nepal, NPL
13.9, 2014, Oct Average, Nepal, NPL
9.9, 2014, Nov Average, Nepal, NPL
6.0, 2014, Dec Average, Nepal, NPL
3.9, 2015, Jan Average, Nepal, NPL
6.2, 2015, Feb Average, Nepal, NPL
9.8, 2015, Mar Average, Nepal, NPL
13.6, 2015, Apr Average, Nepal, NPL
17.8, 2015, May Average, Nepal, NPL
19.3, 2015, Jun Average, Nepal, NPL
19.0, 2015, Jul Average, Nepal, NPL
19.0, 2015, Aug Average, Nepal, NPL
18.4, 2015, Sep Average, Nepal, NPL
14.4, 2015, Oct Average, Nepal, NPL
10.3, 2015, Nov Average, Nepal, NPL
6.0, 2015, Dec Average, Nepal, NPL
4.4, 2016, Jan Average, Nepal, NPL
7.6, 2016, Feb Average, Nepal, NPL
11.7, 2016, Mar Average, Nepal, NPL
15.7, 2016, Apr Average, Nepal, NPL
17.4, 2016, May Average, Nepal, NPL
19.5, 2016, Jun Average, Nepal, NPL
19.1, 2016, Jul Average, Nepal, NPL
19.3, 2016, Aug Average, Nepal, NPL
18.0, 2016, Sep Average, Nepal, NPL
15.0, 2016, Oct Average, Nepal, NPL
10.4, 2016, Nov Average, Nepal, NPL
8.1, 2016, Dec Average, Nepal, NPL
4.9, 2017, Jan Average, Nepal, NPL
7.1, 2017, Feb Average, Nepal, NPL
10.3, 2017, Mar Average, Nepal, NPL
15.1, 2017, Apr Average, Nepal, NPL
17.3, 2017, May Average, Nepal, NPL
19.0, 2017, Jun Average, Nepal, NPL
19.2, 2017, Jul Average, Nepal, NPL
19.4, 2017, Aug Average, Nepal, NPL
18.2, 2017, Sep Average, Nepal, NPL
15.0, 2017, Oct Average, Nepal, NPL
9.9, 2017, Nov Average, Nepal, NPL
7.3, 2017, Dec Average, Nepal, NPL
5.2, 2018, Jan Average, Nepal, NPL
7.5, 2018, Feb Average, Nepal, NPL
11.2, 2018, Mar Average, Nepal, NPL
14.4, 2018, Apr Average, Nepal, NPL
17.1, 2018, May Average, Nepal, NPL
19.5, 2018, Jun Average, Nepal, NPL
19.3, 2018, Jul Average, Nepal, NPL
19.1, 2018, Aug Average, Nepal, NPL
17.7, 2018, Sep Average, Nepal, NPL
13.6, 2018, Oct Average, Nepal, NPL
9.6, 2018, Nov Average, Nepal, NPL
5.3, 2018, Dec Average, Nepal, NPL
4.2, 2019, Jan Average, Nepal, NPL
5.8, 2019, Feb Average, Nepal, NPL
9.5, 2019, Mar Average, Nepal, NPL
15.0, 2019, Apr Average, Nepal, NPL
17.5, 2019, May Average, Nepal, NPL
19.8, 2019, Jun Average, Nepal, NPL
19.2, 2019, Jul Average, Nepal, NPL
19.2, 2019, Aug Average, Nepal, NPL
17.9, 2019, Sep Average, Nepal, NPL
13.9, 2019, Oct Average, Nepal, NPL
10.8, 2019, Nov Average, Nepal, NPL
4.3, 2019, Dec Average, Nepal, NPL
3.3, 2020, Jan Average, Nepal, NPL
5.8, 2020, Feb Average, Nepal, NPL
9.8, 2020, Mar Average, Nepal, NPL
13.6, 2020, Apr Average, Nepal, NPL
16.6, 2020, May Average, Nepal, NPL
18.8, 2020, Jun Average, Nepal, NPL
19.6, 2020, Jul Average, Nepal, NPL
19.5, 2020, Aug Average, Nepal, NPL
18.2, 2020, Sep Average, Nepal, NPL
15.2, 2020, Oct Average, Nepal, NPL
9.3, 2020, Nov Average, Nepal, NPL
6.1, 2020, Dec Average, Nepal, NPL
